LOCATION,X,Y,fe_exists
PIKE PL AND PIKE ST,-122.340471511429,47.6086293074181,1
S PRENTICE ST BETWEEN 65TH AVE S AND 66TH AVE S,-122.25178804978998,47.5081763392141,1
1ST AVE NE AND NE 103RD ST,-122.328525684972,47.703180044191505,1
ELLIS AVE S AND S MYRTLE ST,-122.320382726858,47.5394319336623,1
8TH AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,-122.36617843981199,47.6690405569174,1
WESTERN AVE BETWEEN LENORA ST AND BLANCHARD ST,-122.34542060219101,47.61155632624661,1
N 46TH ST BETWEEN PHINNEY TURN RD AND GREEN LAKE WAY N,-122.34679297878901,47.662068960839214,1
NE 68TH ST BETWEEN OSWEGO PL NE AND WEEDIN PL NE,-122.321935483606,47.677954464421994,1
AIRPORT WAY S BETWEEN S HOMER ST AND S DORIS ST,-122.318084937444,47.5504329354237,1
MERCER ST AND YALE AVE N,-122.330444354698,47.6242754073295,1
WEST SEATTLE BR EB BETWEEN ALASKAN WY VI NB ON RP AND DELRIDGE-W SEATTLE BR EB ON RP,-122.351133937705,47.5709417837772,0
EAST MARGINAL WAY S BETWEEN CORSON AVE S AND CARLETON AVE S,-122.323134939284,47.5401736441422,1
37TH AVE SW BETWEEN SW ALASKA ST AND SW EDMUNDS ST,-122.37878893334299,47.5601707776246,1
GREENWOOD AVE N BETWEEN HOLMAN RD N AND N 107TH ST,-122.355459678176,47.705989802578706,1
35TH AVE NE BETWEEN NE 110TH ST AND NE 113TH ST,-122.290734129226,47.7092763094174,1
AURORA AVE N AND N 130TH ST,-122.34497687998301,47.7232115471904,1
NE 45TH ST BETWEEN THACKERAY PL NE AND LATONA AVE NE,-122.32564334349199,47.661346745056896,1
DENNY WAY BETWEEN TERRY AVE AND BOREN AVE N,-122.336515511787,47.61852540322521,1
RAINIER AVE S BETWEEN S KING ST AND S WELLER ST,-122.31308447915,47.5979126521855,1
3RD AVE NW BETWEEN NW 50TH ST AND NW 51ST ST,-122.3608002126,47.6653496132323,1
S MORGAN ST BETWEEN 28TH AVE S AND 29TH AVE S,-122.296356926705,47.544428386701604,1
1ST AV S BR NB AND EAST MARGINAL WAY S,-122.33383113613199,47.547371141578296,1
17TH AVE S BETWEEN S HINDS ST AND S SPOKANE ST,-122.311389315844,47.57250921398789,1
EAST MARGINAL WAY S BETWEEN ALASKAN WY VI NB AND S NEVADA ST,-122.33943745982701,47.5660606602458,0
LAKE CITY WAY NE AND NE 115TH ST,-122.299511974177,47.7120442522221,1
WHITMAN AVE N BETWEEN N 46TH ST AND N 47TH ST,-122.346085352414,47.6624965346432,1
ROOSEVELT WAY NE AND NE 125TH S ST,-122.318133913234,47.7194496353154,1
DELRIDGE WAY SW AND SW BARTON ST,-122.35845620807899,47.5210299532285,1
4TH AVE S AND S WALKER ST,-122.32905374889799,47.58397727631621,1
LATONA AVE NE AND NE PACIFIC ST,-122.325702733721,47.6548889115389,1
7TH AVE S AND S DEARBORN ST,-122.32376363085,47.59583330499121,1
INTERLAKE AVE N AND N 95TH ST,-122.340807255427,47.69779478872621,1
15TH AVE NE AND NE 56TH ST,-122.311887232584,47.669445966306,1
